county,borough,lang_family,language,2005,2010,2015,2019,difference,percent_change
61,Manhattan,Other,Navajo,,,86.0,,,
61,Manhattan,Other,Other African,4225.0,6259.0,9080.0,5382.0,1157.0,27.384615384615387
61,Manhattan,Other,Other Afro-Asiatic,,,,2193.0,,
61,Manhattan,Other,Other Native American,135.0,272.0,73.0,14.0,-121.0,-89.62962962962962
81,Queens,Asian and Pacific Island,Chinese,144632.0,181821.0,198392.0,208391.0,63759.0,44.0836052879031
81,Queens,Asian and Pacific Island,Hmong,,,61.0,183.0,,
81,Queens,Asian and Pacific Island,Japanese,5647.0,5590.0,6038.0,5465.0,-182.0,-3.22295023906499
81,Queens,Asian and Pacific Island,Khmer,,,,1675.0,,
81,Queens,Asian and Pacific Island,Korean,50571.0,58675.0,54655.0,40194.0,-10377.0,-20.5196654208934
81,Queens,Asian and Pacific Island,Laotian,,,65.0,,,
81,Queens,Asian and Pacific Island,Mon-Khmer,,,150.0,,,
81,Queens,Asian and Pacific Island,Other Asian,14063.0,22068.0,21022.0,13935.0,-128.0,-0.9101898599160919
81,Queens,Asian and Pacific Island,Other Austronesian,,,,3558.0,,
81,Queens,Asian and Pacific Island,Other Pacific Island,2312.0,5436.0,3857.0,,,
81,Queens,Asian and Pacific Island,Other Tai-Kadai,,,,5472.0,,
81,Queens,Asian and Pacific Island,Tagalog,30530.0,35329.0,29458.0,36908.0,6378.0,20.890926957091384
81,Queens,Asian and Pacific Island,Thai,3519.0,3840.0,3195.0,,,
81,Queens,Asian and Pacific Island,Vietnamese,3840.0,2789.0,3489.0,4694.0,854.0,22.239583333333332
81,Queens,Indo-European,Armenian,2266.0,1287.0,1761.0,1831.0,-435.0,-19.196822594880846
81,Queens,Indo-European,Bengali,,,,70699.0,,
81,Queens,Indo-European,French,17687.0,13124.0,10735.0,10499.0,-7188.0,-40.64001809238424
81,Queens,Indo-European,French Creole,20904.0,34080.0,24365.0,,,
81,Queens,Indo-European,German,6125.0,6936.0,4999.0,5196.0,-929.0,-15.16734693877551
81,Queens,Indo-European,Greek,35809.0,30302.0,27388.0,20243.0,-15566.0,-43.4695188360468
81,Queens,Indo-European,Gujarati,5375.0,5471.0,6062.0,2589.0,-2786.0,-51.83255813953488
81,Queens,Indo-European,Haitian and French Creole,,,,31513.0,,
81,Queens,Indo-European,Hindi,15664.0,21883.0,28877.0,16409.0,745.0,4.756128702757916
81,Queens,Indo-European,Italian,33995.0,31038.0,21610.0,17110.0,-16885.0,-49.66906898073246
81,Queens,Indo-European,Other Dravidian,,,,4408.0,,
81,Queens,Indo-European,Other Germanic,3914.0,2415.0,2867.0,,,
81,Queens,Indo-European,Other Indic,61782.0,69449.0,95425.0,11012.0,-50770.0,-82.1760383283157
81,Queens,Indo-European,Other Indo-European,21433.0,18040.0,16039.0,14932.0,-6501.0,-30.331731442168618
81,Queens,Indo-European,Other Scandinavian,201.0,257.0,248.0,,,
81,Queens,Indo-European,Other Slavic,7671.0,4111.0,7294.0,3415.0,-4256.0,-55.4816842654152
81,Queens,Indo-European,Persian,4817.0,4773.0,3962.0,3416.0,-1401.0,-29.08449242266971
81,Queens,Indo-European,Polish,20557.0,24441.0,26044.0,24661.0,4104.0,19.964002529551976
81,Queens,Indo-European,Portuguese,7007.0,7750.0,6006.0,4626.0,-2381.0,-33.98030540887684
81,Queens,Indo-European,Punjabi,,,,20247.0,,
81,Queens,Indo-European,Russian,30548.0,32770.0,41759.0,33656.0,3108.0,10.174152153987167
81,Queens,Indo-European,Serbo-Croatian,10310.0,9843.0,9959.0,11137.0,827.0,8.021338506304557
81,Queens,Indo-European,Spanish,487565.0,510372.0,524568.0,500857.0,13292.0,2.7262006091495494
81,Queens,Indo-European,Tamil,,,,1075.0,,
81,Queens,Indo-European,Telugu,,,,884.0,,
81,Queens,Indo-European,Urdu,15702.0,23001.0,18085.0,16747.0,1045.0,6.65520315883327
81,Queens,Other,Arabic,12865.0,14986.0,17905.0,11544.0,-1321.0,-10.268169452001555
81,Queens,Other,Hebrew,10520.0,9429.0,7887.0,6667.0,-3853.0,-36.625475285171106
81,Queens,Other,Hungarian,3222.0,2530.0,2026.0,,,
81,Queens,Other,Navajo,,,,,,
81,Queens,Other,Other African,6620.0,10319.0,12656.0,7530.0,910.0,13.746223564954683
81,Queens,Other,Other Afro-Asiatic,,,,801.0,,
81,Queens,Other,Other Native American,1175.0,270.0,988.0,306.0,-869.0,-73.95744680851064
85,Staten Island,Asian and Pacific Island,Chinese,,,10314.0,22125.0,,
85,Staten Island,Asian and Pacific Island,Hmong,,,,,,
85,Staten Island,Asian and Pacific Island,Japanese,,,344.0,46.0,,
85,Staten Island,Asian and Pacific Island,Khmer,,,,,,
85,Staten Island,Asian and Pacific Island,Korean,,,4153.0,1574.0,,
85,Staten Island,Asian and Pacific Island,Laotian,,,,,,
85,Staten Island,Asian and Pacific Island,Mon-Khmer,,,,,,
85,Staten Island,Asian and Pacific Island,Other Asian,,,3158.0,1261.0,,
85,Staten Island,Asian and Pacific Island,Other Austronesian,,,,,,
85,Staten Island,Asian and Pacific Island,Other Pacific Island,,,239.0,,,
85,Staten Island,Asian and Pacific Island,Other Tai-Kadai,,,,,,
85,Staten Island,Asian and Pacific Island,Tagalog,,,4501.0,2992.0,,
85,Staten Island,Asian and Pacific Island,Thai,,,308.0,,,
85,Staten Island,Asian and Pacific Island,Vietnamese,,,518.0,39.0,,
85,Staten Island,Indo-European,Armenian,,,,,,
85,Staten Island,Indo-European,Bengali,,,,488.0,,
85,Staten Island,Indo-European,French,,,1739.0,2263.0,,
85,Staten Island,Indo-European,French Creole,,,229.0,,,
85,Staten Island,Indo-European,German,,,789.0,183.0,,
85,Staten Island,Indo-European,Greek,,,1441.0,1944.0,,
85,Staten Island,Indo-European,Gujarati,,,742.0,628.0,,
85,Staten Island,Indo-European,Haitian and French Creole,,,,381.0,,
85,Staten Island,Indo-European,Hindi,,,1314.0,1365.0,,
85,Staten Island,Indo-European,Italian,,,11950.0,10211.0,,
85,Staten Island,Indo-European,Other Dravidian,,,,2469.0,,
85,Staten Island,Indo-European,Other Germanic,,,155.0,,,
85,Staten Island,Indo-European,Other Indic,,,2730.0,1865.0,,
85,Staten Island,Indo-European,Other Indo-European,,,6960.0,5872.0,,
85,Staten Island,Indo-European,Other Scandinavian,,,107.0,,,
85,Staten Island,Indo-European,Other Slavic,,,2822.0,2781.0,,
85,Staten Island,Indo-European,Persian,,,89.0,,,
85,Staten Island,Indo-European,Polish,,,5680.0,4250.0,,
85,Staten Island,Indo-European,Portuguese,,,175.0,297.0,,
85,Staten Island,Indo-European,Punjabi,,,,,,
85,Staten Island,Indo-European,Russian,,,12487.0,17677.0,,
85,Staten Island,Indo-European,Serbo-Croatian,,,1834.0,1464.0,,
85,Staten Island,Indo-European,Spanish,,,46850.0,45789.0,,
85,Staten Island,Indo-European,Tamil,,,,2735.0,,
85,Staten Island,Indo-European,Telugu,,,,136.0,,
85,Staten Island,Indo-European,Urdu,,,3826.0,2572.0,,
85,Staten Island,Other,Arabic,,,7406.0,12313.0,,
85,Staten Island,Other,Hebrew,,,1934.0,1359.0,,
85,Staten Island,Other,Hungarian,,,65.0,,,
85,Staten Island,Other,Navajo,,,54.0,,,
85,Staten Island,Other,Other African,,,1834.0,4440.0,,
85,Staten Island,Other,Other Afro-Asiatic,,,,,,
85,Staten Island,Other,Other Native American,,,177.0,245.0,,
