county,borough,language,speaker_num,lang_family
47,Brooklyn,Other Indic,14490.0,Indo-European
61,Manhattan,Other Indic,3373.0,Indo-European
81,Queens,Other Indic,61782.0,Indo-European
85,Staten Island,Other Indic,,Indo-European
5,Bronx,Other Indo-European,10544.0,Indo-European
47,Brooklyn,Other Indo-European,9422.0,Indo-European
61,Manhattan,Other Indo-European,3967.0,Indo-European
81,Queens,Other Indo-European,21433.0,Indo-European
85,Staten Island,Other Indo-European,,Indo-European
5,Bronx,Chinese,7902.0,Asian and Pacific Island
47,Brooklyn,Chinese,125123.0,Asian and Pacific Island
61,Manhattan,Chinese,72931.0,Asian and Pacific Island
81,Queens,Chinese,144632.0,Asian and Pacific Island
85,Staten Island,Chinese,,Asian and Pacific Island
5,Bronx,Japanese,264.0,Asian and Pacific Island
47,Brooklyn,Japanese,2581.0,Asian and Pacific Island
61,Manhattan,Japanese,7929.0,Asian and Pacific Island
81,Queens,Japanese,5647.0,Asian and Pacific Island
85,Staten Island,Japanese,,Asian and Pacific Island
5,Bronx,Korean,4308.0,Asian and Pacific Island
47,Brooklyn,Korean,3604.0,Asian and Pacific Island
61,Manhattan,Korean,12249.0,Asian and Pacific Island
81,Queens,Korean,50571.0,Asian and Pacific Island
85,Staten Island,Korean,,Asian and Pacific Island
5,Bronx,Cambodian,448.0,Asian and Pacific Island
47,Brooklyn,Cambodian,362.0,Asian and Pacific Island
61,Manhattan,Cambodian,0.0,Asian and Pacific Island
81,Queens,Cambodian,0.0,Asian and Pacific Island
85,Staten Island,Cambodian,,Asian and Pacific Island
5,Bronx,Hmong,0.0,Asian and Pacific Island
47,Brooklyn,Hmong,0.0,Asian and Pacific Island
61,Manhattan,Hmong,0.0,Asian and Pacific Island
81,Queens,Hmong,0.0,Asian and Pacific Island
85,Staten Island,Hmong,,Asian and Pacific Island
5,Bronx,Thai,643.0,Asian and Pacific Island
47,Brooklyn,Thai,382.0,Asian and Pacific Island
61,Manhattan,Thai,395.0,Asian and Pacific Island
81,Queens,Thai,3519.0,Asian and Pacific Island
85,Staten Island,Thai,,Asian and Pacific Island
5,Bronx,Laotian,0.0,Asian and Pacific Island
47,Brooklyn,Laotian,0.0,Asian and Pacific Island
61,Manhattan,Laotian,200.0,Asian and Pacific Island
81,Queens,Laotian,0.0,Asian and Pacific Island
85,Staten Island,Laotian,,Asian and Pacific Island
5,Bronx,Vietnamese,2658.0,Asian and Pacific Island
47,Brooklyn,Vietnamese,3362.0,Asian and Pacific Island
61,Manhattan,Vietnamese,1922.0,Asian and Pacific Island
81,Queens,Vietnamese,3840.0,Asian and Pacific Island
85,Staten Island,Vietnamese,,Asian and Pacific Island
5,Bronx,Other Asian,1940.0,Asian and Pacific Island
47,Brooklyn,Other Asian,7217.0,Asian and Pacific Island
61,Manhattan,Other Asian,3344.0,Asian and Pacific Island
81,Queens,Other Asian,14063.0,Asian and Pacific Island
85,Staten Island,Other Asian,,Asian and Pacific Island
5,Bronx,Tagalog,4459.0,Asian and Pacific Island
47,Brooklyn,Tagalog,4357.0,Asian and Pacific Island
61,Manhattan,Tagalog,5363.0,Asian and Pacific Island
81,Queens,Tagalog,30530.0,Asian and Pacific Island
85,Staten Island,Tagalog,,Asian and Pacific Island
5,Bronx,Other Pacific Island,131.0,Asian and Pacific Island
47,Brooklyn,Other Pacific Island,348.0,Asian and Pacific Island
61,Manhattan,Other Pacific Island,517.0,Asian and Pacific Island
81,Queens,Other Pacific Island,2312.0,Asian and Pacific Island
85,Staten Island,Other Pacific Island,,Asian and Pacific Island
5,Bronx,Navajo,0.0,Other
47,Brooklyn,Navajo,0.0,Other
61,Manhattan,Navajo,0.0,Other
81,Queens,Navajo,0.0,Other
85,Staten Island,Navajo,,Other
5,Bronx,Other Native American,604.0,Other
47,Brooklyn,Other Native American,311.0,Other
61,Manhattan,Other Native American,135.0,Other
81,Queens,Other Native American,1175.0,Other
85,Staten Island,Other Native American,,Other
5,Bronx,Hungarian,1231.0,Other
47,Brooklyn,Hungarian,3359.0,Other
61,Manhattan,Hungarian,1628.0,Other
81,Queens,Hungarian,3222.0,Other
85,Staten Island,Hungarian,,Other
5,Bronx,Arabic,4398.0,Other
47,Brooklyn,Arabic,27351.0,Other
61,Manhattan,Arabic,6327.0,Other
81,Queens,Arabic,12865.0,Other
85,Staten Island,Arabic,,Other
5,Bronx,Hebrew,309.0,Other
47,Brooklyn,Hebrew,22088.0,Other
61,Manhattan,Hebrew,8165.0,Other
81,Queens,Hebrew,10520.0,Other
85,Staten Island,Hebrew,,Other
5,Bronx,Other African,26786.0,Other
47,Brooklyn,Other African,9193.0,Other
61,Manhattan,Other African,4225.0,Other
81,Queens,Other African,6620.0,Other
85,Staten Island,Other African,,Other
